person_id;loan_id;cb_id;idade;salario_anual;situacao_moradia;anos_trabalhados;motivo_emprestimo;pontuacao_emprestimo;valor_emprestimo;taxa_juros;inadimplencia;comprometimento_renda;historico_inadimplencia;tempo_credito
vP3Axyrd-Yrij;1ZeY69ml-GGQu;OGTe8Gim-WaEX;26,0;48000,0;Hipotecada;10.0;Educativo;A;10000,0;7.74;0,0;0.21;N;2
L9LjxrcI-uMbB;lUJNWp9S-G0Zp;ehgZXA22-6Dic;22,0;110000,0;Alugada;6.0;Medico;A;6400,0;9.32;0,0;0.06;N;4
QX2srHDP-ASDp;Ic2I0iqP-0JOX;vfpCil4Z-arhp;30,0;50000,0;Alugada;3.0;Pessoal;C;10000,0;13.22;0,0;0.2;N;7
5KG3xLor-8A06;Gn7bAi7l-P58g;Y9t31nJj-sGOq;24,0;8400,0;Alugada;0.0;Educativo;C;1500,0;13.99;1,0;0.18;N;4
C8XTBmsW-09RH;nQvAjmPZ-T13r;wcJoMp4F-e77L;25,0;110000,0;Hipotecada;5.0;Empreendimento;C;1200,0;13.49;0,0;0.01;N;4
bBQ5Z3rA-gKO8;GAHXYPMA-LS0k;NkOhYI4T-FjWf;49,0;70872,0;Hipotecada;4.0;Pagamento_Debitos;D;15000,0;14.84;1,0;0.21;N;11
K2T3onFW-KuPO;t1G5RMhE-yG5N;IwFERD7d-kb6Z;41,0;24000,0;Alugada;24.0;Pessoal;A;2000,0;7.75;1,0;0.08;N;17
JKhnQjdA-noFx;Q7LaxqMv-0JOu;hAUqxrmh-yE3L;49,0;23004,0;Alugada;6.0;Pessoal;D;3250,0;15.21;0,0;0.14;N;12
jdCd3fkW-gLhB;puNBeL3u-9eKF;Y2HS8yac-ZARL;27,0;38250,0;Alugada;1.0;Medico;A;5000,0;7.51;0,0;0.13;N;5
hYqWz1JD-8DF0;1Te9uLsm-kF7i;KgM36ft7-ZJIP;25,0;46000,0;Hipotecada;4.0;Educativo;C;2125,0;12.99;0,0;0.05;Y;2
uto7EjYb-NcHY;JOqoL9MH-eRsi;qXpnKwXw-TmEN;30,0;41604,0;Hipotecada;7.0;Empreendimento;B;15000,0;10.0;0,0;0.36;N;9
NE7K2KQa-E9vE;lf738LuF-Jtne;Kl0Mgg6s-LZSW;24,0;36500,0;Hipotecada;3.0;Educativo;B;2500,0;10.37;0,0;0.07;N;3
1cOPf1qD-wFaf;Q9gpRLzs-elg5;w3Wj01jg-smjd;36,0;45344,0;Hipotecada;11.0;Educativo;A;16750,0;7.88;0,0;0.37;N;13
Hmm6kZdm-LoGv;aHRN4f7w-kD8s;QPGB8uND-0Ci6;33,0;85000,0;Alugada;0.0;Pessoal;B;10000,0;0.0;0,0;0.12;N;5
lwqlaSe9-hAYR;mW9tPtGN-hla1;ZgnE56yN-0X4S;56,0;90000,0;Hipotecada;0.0;Pessoal;A;7200,0;6.17;0,0;0.08;N;19
nMDA4Baq-1LNm;mB97UIG5-CYmY;3sRhK0dI-jm0y;33,0;58800,0;Alugada;10.0;Medico;B;3000,0;11.49;0,0;0.05;N;9
vQeKi6jj-S7Mp;UTlIhe5Z-C3Rx;lxX6OwH3-4caY;28,0;90000,0;Hipotecada;12.0;Melhora_Lar;C;5000,0;14.79;0,0;0.06;Y;8
qHiu42Bq-qdoc;fqiyuEYQ-5Qwz;XO8G8XF0-itEI;22,0;19200,0;Hipotecada;6.0;Melhora_Lar;D;1400,0;14.91;1,0;0.07;Y;4
mr5kzNEs-CSqa;ecWSI5oO-s3lg;MyjDOZgv-m2Wl;23,0;45000,0;Alugada;2.0;Empreendimento;B;14500,0;10.36;1,0;0.32;N;4
IE7xRxnw-2FhC;gIRr6PwL-28Sy;3LZ2uRzY-Ufu7;25,0;23000,0;Alugada;0.0;Melhora_Lar;D;8000,0;14.46;1,0;0.35;Y;2
OYzDCgwu-XpFP;Rao6sbJB-Clci;ChK3ARMs-TPPW;28,0;29496,0;Alugada;8.0;Educativo;D;4500,0;14.11;0,0;0.15;Y;7
7UQ6hsHs-zsdL;5Psp57Sa-u1NJ;uaebCZid-s7rm;28,0;40000,0;Hipotecada;12.0;Melhora_Lar;A;15000,0;5.99;0,0;0.38;N;9
jhEqMkih-frgu;CP6oLE3P-Hc8Y;sHBetnIk-dc5d;31,0;75000,0;Alugada;4.0;Melhora_Lar;A;18000,0;8.9;0,0;0.24;N;6
1PeK2HzO-5yF8;MHdhP3Qb-vKO3;DpOp6sLU-4Mw4;36,0;40000,0;Propria;2.0;Pessoal;A;5000,0;7.88;0,0;0.13;N;12
SgjsTf1I-1Xg8;icnPNWbr-zBW3;UTzTsGDd-aubE;21,0;32400,0;Alugada;2.0;Empreendimento;C;10000,0;13.23;1,0;0.31;Y;3
2TfQHQcU-cICJ;DWNlix8Z-HWTj;STsJSJqY-k0Ti;35,0;106369,0;Hipotecada;2.0;Empreendimento;A;8325,0;6.99;0,0;0.08;N;10
z7O5S4LO-0Y5x;9DhHSBkb-oqps;smrhla6g-C6RO;24,0;65450,0;Hipotecada;8.0;Medico;D;5000,0;16.77;1,0;0.06;N;4
TjxqCrDv-JhDu;E6gzvzyr-U3RO;KW38u99x-DJwj;24,0;38400,0;Hipotecada;8.0;Melhora_Lar;B;10000,0;10.99;0,0;0.26;N;2
oQyumKF2-388m;XQp4zIJY-N3Qp;DSjqjdi8-F6ph;26,0;39000,0;Alugada;2.0;Educativo;A;8000,0;6.62;0,0;0.21;N;2
64lcjBx3-KMWo;hp9H5p2i-5g3z;pglZ3ERt-1PA0;37,0;20004,0;Alugada;0.0;Pagamento_Debitos;B;5000,0;0.0;0,0;0.25;N;12
kzHFZjjM-UPe5;QtK9Y3KH-mJEM;hDzijmbP-jWYF;34,0;30000,0;Propria;0.0;Medico;A;6000,0;7.29;0,0;0.2;N;9
ICprTb6t-yPXf;5JiaDi9D-tg1l;1lafB6Nt-Yb9L;25,0;42000,0;Alugada;3.0;Empreendimento;A;18000,0;6.17;1,0;0.43;N;2
mt9FbU9Y-vdfk;a78If8dc-JsxC;8J9IGXTn-EguF;31,0;45000,0;Hipotecada;12.0;Pessoal;A;6000,0;9.32;0,0;0.13;N;9
g207752f-KPeq;OqBz0aLl-YKaZ;FSquHZqw-zJzf;24,0;48000,0;Hipotecada;3.0;Pagamento_Debitos;B;4800,0;9.99;0,0;0.1;N;2
owohqlA3-IcuN;LdoMcLpI-vPY6;RaZHvBbg-BRwD;27,0;75000,0;Hipotecada;4.0;Pessoal;B;20150,0;11.36;0,0;0.27;N;6
OUEtPkTc-vXcy;NAKFoNIk-NYBx;EUBokKrE-dXz0;23,0;30000,0;Alugada;3.0;Pessoal;A;3600,0;5.99;0,0;0.12;N;2
yeHlTkj5-QbMc;rb9HgWJ7-FNcq;xnU4LhwR-zFwU;39,0;57000,0;Hipotecada;0.0;Pagamento_Debitos;A;3000,0;9.63;0,0;0.05;N;14
PHiC0Lwb-AWeB;j5S6rOOa-H15G;jXHQAlgc-MWXP;28,0;110244,0;Hipotecada;3.0;Melhora_Lar;D;18000,0;12.17;0,0;0.16;N;10
qi5D6Pk9-G5tu;aampZHW2-ocZj;fJT9TZp1-cd3e;25,0;72000,0;Alugada;0.0;Pagamento_Debitos;A;17000,0;7.88;0,0;0.24;N;3
TZKDYh3Y-uHOY;cbDeQpd0-Ccej;9hbW9uAB-OSrR;26,0;143375,0;Hipotecada;10.0;Medico;A;12000,0;7.66;0,0;0.08;N;3
FwamM7qG-pPmE;zP78RLso-2XrN;3LOr0WLu-TtkI;27,0;28800,0;Propria;0.0;Melhora_Lar;A;13000,0;6.92;0,0;0.45;N;10
ScEk9Y9l-QBY6;cHil8Pm5-tP4u;WtkEXsUG-j9tt;23,0;62400,0;Hipotecada;7.0;Medico;C;7000,0;13.06;0,0;0.11;N;4
YmB2Rnsc-oQ5h;gG4lcPsb-RM3D;xya09eZJ-67vU;31,0;48000,0;Alugada;11.0;Medico;B;2000,0;10.65;0,0;0.04;N;6
AqkexoaE-TUYU;oZK2PNFA-3HrJ;J3DyvL0F-ioUC;28,0;75000,0;Alugada;1.0;Melhora_Lar;A;12000,0;9.63;0,0;0.16;N;7
txSoR8py-0GKW;x5HPoqIJ-rN4y;n5dLcnwm-3FHd;25,0;67500,0;Alugada;2.0;Educativo;A;7200,0;7.88;0,0;0.11;N;4
w8mGbw2o-C9hi;wleuQugd-7QM4;7wT1zmB4-a800;26,0;90000,0;Alugada;8.0;Pessoal;D;15000,0;0.0;0,0;0.17;Y;3
lkPCb4C5-uDdP;od8H684N-22T8;gzugnfEW-tOXE;43,0;54000,0;Alugada;0.0;Melhora_Lar;D;9000,0;15.65;1,0;0.17;Y;16
lU1KJhdE-6j3d;5ye4eYT8-rOCk;wbWk4wpx-HSjT;23,0;72324,0;Alugada;7.0;Empreendimento;B;12000,0;10.99;0,0;0.17;N;3
qDBl3hP4-f1ur;0xOlqW5J-QCOA;zFEHh7n5-Gjvg;26,0;38400,0;Alugada;8.0;Empreendimento;D;9100,0;15.37;0,0;0.24;Y;2
RrrJ9QKY-KELW;3JARyEvA-hmFa;OBhcjg6X-6AYp;30,0;62304,0;Alugada;3.0;Educativo;D;11000,0;0.0;0,0;0.18;N;9
1KTs8tfm-FKNn;YimyHI1H-XWkK;WPwfN2Hg-ALED;26,0;48000,0;Hipotecada;11.0;Medico;A;5000,0;7.14;1,0;0.1;N;2
fLwL31X9-b09l;bSgfXl4P-yxB5;ruE6hY66-Ufb6;21,0;44000,0;Alugada;0.0;Pessoal;D;5500,0;15.28;1,0;0.13;N;3
lDA8rpHS-BnvK;NFxlA8Yf-pGM9;CjLuU6Eb-t6oK;26,0;22800,0;Alugada;4.0;Pessoal;C;5000,0;13.57;0,0;0.22;Y;2
gR7jNhTp-3lDH;PH1Dce6u-aHfn;0LveoXWk-tDjQ;23,0;60000,0;Hipotecada;0.0;Educativo;B;5600,0;10.99;0,0;0.09;N;2
mcOyb7Xa-mQbo;Qds27pJg-CDGI;5SPg4r1B-0JsK;24,0;125000,0;Alugada;6.0;Pessoal;A;4800,0;6.76;0,0;0.04;N;3
imxnq1vQ-90m4;fWjwxX3p-IYUl;UBRKQ3T8-XEbO;38,0;83000,0;Alugada;3.0;Melhora_Lar;G;22250,0;23.22;1,0;0.27;Y;12
Fxi7akTL-IFIh;CrKMH5XW-s5aU;MyHrnIIz-Qlwv;24,0;26000,0;Alugada;2.0;Melhora_Lar;D;6200,0;14.11;1,0;0.24;N;4
yiTEC9YK-2eXh;CStSMhui-8RX9;07d7IOHY-YrZY;26,0;54000,0;Alugada;3.0;Melhora_Lar;E;13000,0;17.93;0,0;0.24;Y;2
OcYUPdMG-zmrD;nKJB2uXq-asi3;F8i1iviQ-bFyG;28,0;33600,0;Hipotecada;12.0;Medico;A;3000,0;5.42;0,0;0.09;N;5
ha2E8WRH-9Bsl;DLv3X7mj-leho;2HH1FSuO-REgR;27,0;144000,0;Hipotecada;4.0;Pagamento_Debitos;C;21000,0;13.57;0,0;0.15;Y;8
Dgc1W7Zr-FiEg;rqjB7W2p-SR3N;sTeWZBnu-QfFZ;44,0;80160,0;Hipotecada;13.0;Pagamento_Debitos;C;5500,0;13.92;0,0;0.07;Y;13
7a6d1Mw2-B4CC;GRSGBI76-CDAK;aGmN2Tt5-r5HL;24,0;120000,0;Alugada;4.0;Melhora_Lar;C;10000,0;13.61;0,0;0.08;N;2
0rraeeHG-d4nD;da3r35cC-zj88;MMLEqhJe-YC4r;28,0;65000,0;Hipotecada;5.0;Medico;C;4500,0;15.96;0,0;0.07;Y;9
cuHDFX9d-gm4e;yGhAjxMM-dwKZ;PmFEOtgp-ircd;36,0;35000,0;Propria;1.0;Empreendimento;B;6000,0;11.49;0,0;0.17;N;13
PptOP3tx-8rOz;90Jwp3uF-wi4R;3OMDW36T-7SxS;23,0;40000,0;Alugada;7.0;Empreendimento;B;10000,0;10.36;0,0;0.25;N;3
9phgp4wB-Y9ZA;Cd90H4Ci-8n9j;ysi0Hszx-tcUd;32,0;40000,0;Alugada;2.0;Educativo;A;7500,0;8.0;0,0;0.19;N;6
bsjYmP00-XXsO;EXQXXO9g-llgX;Yj0s3Sns-mdCe;23,0;65000,0;Hipotecada;7.0;Educativo;A;10500,0;6.03;0,0;0.16;N;4
msucpsXN-tljf;emmXTK8G-Wab5;xB6J7ppL-jRx3;22,0;40000,0;Alugada;6.0;Educativo;C;14000,0;13.11;1,0;0.35;Y;3
M4qj1Ei8-ksPr;pqqadT5Y-wDfU;iX5xYUJ6-1hkR;24,0;84996,0;Alugada;1.0;Medico;A;6000,0;6.03;0,0;0.07;N;3
Xqu9oDNW-RLBx;0hp1CtqO-eBTT;dDxAXA0Z-vqXP;22,0;94200,0;Hipotecada;6.0;Pessoal;B;20000,0;8.88;0,0;0.21;N;2
Hu1v5l4C-Rt0o;XjCkR8Ab-Xn06;6Ql4YuhO-1xLY;21,0;36000,0;Alugada;0.0;Pessoal;B;18000,0;9.88;1,0;0.5;N;3
k27N5FMA-q8ak;mZNqqzyr-R2WO;QdQ7Zz8y-9Ml3;26,0;130000,0;Alugada;10.0;Pagamento_Debitos;C;20000,0;13.11;0,0;0.15;Y;4
bzN7Nmj5-GyOL;ygIr9h3p-GH7z;vEm0QC0t-sg2q;23,0;59000,0;Alugada;3.0;Educativo;D;10000,0;15.58;1,0;0.17;N;3
CGr8LFPX-mxsF;QnYsidO9-QwXr;ifl4LsqP-5tir;29,0;48000,0;Alugada;1.0;Medico;A;8800,0;8.49;0,0;0.18;N;9
m5pFFwqC-1WQR;DZHlC7M0-m5Qo;h3graqDS-6Gyi;55,0;50000,0;Alugada;2.0;Pagamento_Debitos;A;20000,0;7.51;1,0;0.4;N;28
6OXU5BcC-OArF;2Lb6zAiB-iwqj;QsR7ZdBZ-jb35;27,0;62900,0;Alugada;9.0;Medico;D;7450,0;15.99;1,0;0.1;N;10
9E7QIz92-uxah;hZZipyFJ-TQuv;WWccHhq0-gnBy;31,0;117000,0;Hipotecada;5.0;Melhora_Lar;A;3600,0;6.91;0,0;0.03;N;5
qYZjnZTj-S2pA;858XFQtN-UiXQ;svg8odFf-HK2Q;30,0;40000,0;Alugada;4.0;Empreendimento;C;4500,0;14.26;0,0;0.11;Y;6
PwcmcBmt-Jcc0;dxjxBnHs-C5Mh;tbg8X1l2-G8X7;29,0;59000,0;Hipotecada;7.0;Pagamento_Debitos;B;15000,0;9.76;1,0;0.25;N;8
U7oPKUpP-Pds2;sjU8QUli-xQw2;uf0ShAD4-nYdG;37,0;55236,0;Hipotecada;9.0;Empreendimento;A;6500,0;6.03;0,0;0.12;N;16
ctBumKmf-2HFX;HA4nGUol-mwsh;ghX2NQuF-j1vc;28,0;42000,0;Alugada;9.0;Educativo;A;2500,0;8.49;0,0;0.06;N;8
2YlOM1b3-YIkJ;FD8tLF5K-PBsh;JhJKpSZm-vE2v;22,0;96000,0;Alugada;4.0;Educativo;B;3150,0;6.0;0,0;0.03;N;2
TtDtCvtQ-1wRY;wTJlmadI-NMAW;BseyS10q-4ilR;40,0;33000,0;Hipotecada;2.0;Melhora_Lar;B;1000,0;0.0;0,0;0.03;N;15
L1mlm1mM-tsUc;gjifZty5-p24f;0WGw0fCz-E8hY;22,0;39000,0;Propria;6.0;Medico;A;1000,0;0.0;0,0;0.03;N;2
MzfAz4PT-4spj;tKohBZsd-hPvJ;vLyFyX0b-YBGA;25,0;58000,0;Hipotecada;2.0;Pessoal;D;2750,0;12.86;0,0;0.05;Y;4
38EUJjPY-6fW4;3a9BXCUf-ta6I;uWI1WxOp-pxKg;28,0;74000,0;Propria;12.0;Empreendimento;D;5450,0;12.67;0,0;0.07;Y;6
FBLvtXHn-5zFI;5Yb77yvT-lgy0;2ZBjZwiA-hk1Y;26,0;145992,0;Hipotecada;0.0;Pessoal;D;20000,0;0.0;0,0;0.14;Y;2
To4OvamI-RIHN;EaOhmXNF-rqIx;XONcN9vu-xaS4;23,0;60000,0;Alugada;3.0;Educativo;E;10000,0;0.0;0,0;0.17;N;2
eyD8j8Jm-AyT7;xdCoQ94X-rUhG;WtrvELv6-IYRB;36,0;31000,0;Alugada;2.0;Empreendimento;A;2500,0;8.9;0,0;0.08;N;15
bzDaSbNJ-M4d9;YMY5kJQQ-IaeA;AL7Q8Car-IZMh;38,0;96000,0;Hipotecada;0.0;Pessoal;C;1500,0;14.26;0,0;0.02;N;14
m0WmiYfs-81Xn;MXzLe5pq-XbkX;1IwH0IyK-v4sh;26,0;52000,0;Hipotecada;6.0;Pessoal;B;3300,0;10.99;0,0;0.06;N;2
xLNpUoQD-ceDf;PHNEjRXh-yxgE;TtHJGkId-mFko;24,0;32004,0;Hipotecada;5.0;Empreendimento;C;14000,0;12.73;0,0;0.44;N;4
eNDdYiw5-wgXE;aRTc7q26-ugXe;54BjPciD-CAiR;31,0;32904,0;Hipotecada;15.0;Empreendimento;C;3000,0;0.0;0,0;0.09;N;5
SDs4sq9n-0ky1;ZdGK1FZG-2G9q;cUmHGGnZ-oFuQ;39,0;12000,0;Alugada;0.0;Empreendimento;B;2000,0;10.65;1,0;0.17;N;11
y8Ki7z4i-bBTA;cnQIziFC-p3xa;CKvSDY6o-z9bF;24,0;86000,0;Hipotecada;0.0;Pessoal;B;20000,0;10.99;1,0;0.23;N;4
1YHsXohP-xYOS;D6KZDMfG-3usL;ULQbRI1r-YsXX;29,0;70000,0;Hipotecada;13.0;Medico;A;10000,0;6.99;0,0;0.14;N;5
D2p02PXU-CNuP;EyDonijD-HEiN;gwAHt9Jd-Tza6;25,0;35500,0;Alugada;5.0;Medico;B;4000,0;10.99;0,0;0.11;N;3
OjRu9i1E-v7Lh;IznlYOmB-5sWd;fGksb4d0-TH7L;22,0;18000,0;Alugada;0.0;Medico;C;3000,0;13.99;1,0;0.17;Y;4
7XcKTbdT-5LpS;Dppg7pCX-gGee;oSxWU86h-AzLU;36,0;120000,0;Hipotecada;12.0;Melhora_Lar;A;14500,0;5.42;0,0;0.12;N;13
CXDRMHSB-BT8G;lcTLYhL4-N0Cb;MYcW2hvx-iOUL;30,0;43200,0;Hipotecada;5.0;Melhora_Lar;C;4200,0;13.49;0,0;0.1;Y;7
WyMywUZd-WtEU;fkdREc6l-hJtO;SyNpRWMf-IBFE;26,0;28800,0;Alugada;4.0;Medico;A;7000,0;5.42;0,0;0.24;N;4
wfoF4hsy-sPIH;yI3nJJWF-1GpQ;gXsECNoE-7d2r;32,0;40277,0;Alugada;5.0;Medico;B;15000,0;11.71;1,0;0.37;N;8
mx4gENm0-pcWB;IyBE3EtQ-wJhC;1U21z2cG-rz3O;23,0;52360,0;Hipotecada;0.0;Empreendimento;D;15000,0;16.49;0,0;0.29;Y;2
RnzUnhl7-TDvQ;inNswnu4-JP3J;Q5xs9SPO-JsWw;26,0;85000,0;Alugada;2.0;Empreendimento;A;28000,0;7.49;1,0;0.33;N;3
GLmLcJ5z-K4n7;F4GrC60M-FeoQ;ewmubkSG-CbNk;23,0;54804,0;Alugada;4.0;Educativo;D;3600,0;16.77;0,0;0.07;Y;4
BX7rwXJG-MCTs;vBaJTseS-om53;a69WBlgm-i6GC;24,0;55000,0;Hipotecada;8.0;Pessoal;D;15000,0;0.0;0,0;0.27;Y;3
mKoJbC6b-SZn4;QS0el12k-DzFe;fgA16Q17-8zeO;24,0;60000,0;Alugada;4.0;Pessoal;B;12500,0;11.49;0,0;0.21;N;3
0POZyPIf-rqOB;pS4JEQBE-nh3z;44fIw9Cy-qH5C;25,0;80000,0;Hipotecada;7.0;Melhora_Lar;A;6000,0;7.9;0,0;0.07;N;3
FmwjqMWP-zmuy;jxS64doh-Hetf;fqYQuO2p-FB60;24,0;130000,0;Alugada;7.0;Pagamento_Debitos;B;24000,0;11.49;0,0;0.18;N;3
g4hP4TmR-OgCU;hBsWlIXf-nCBR;cBZU1X0B-Ya7B;23,0;50000,0;Alugada;5.0;Pessoal;A;10000,0;8.94;0,0;0.2;N;2
agp5H48v-Q1hB;oAjEcLOz-WXon;PlIjp3aN-bDBM;23,0;30000,0;Alugada;2.0;Educativo;A;6400,0;6.99;0,0;0.21;N;4
l7TlibFa-hGkH;60NSc0IY-GNAG;8drWdA2H-aQUj;34,0;67392,0;Hipotecada;0.0;Pessoal;C;15000,0;13.85;1,0;0.22;Y;5
opJH3Cho-OLcp;65TX7qut-reMS;EkL0Ezob-zEL2;30,0;39552,0;Hipotecada;2.0;Empreendimento;B;12375,0;10.37;0,0;0.31;N;9
yrL27Gzn-imvW;zjwERmLe-r97O;uQdCArAk-ISO3;31,0;65000,0;Hipotecada;3.0;Pagamento_Debitos;A;10000,0;11.03;0,0;0.0;N;3
Lo9hbmzq-QiTt;ECHWWJy5-HbrP;TJEDr2EU-FR1b;28,0;108000,0;Alugada;2.0;Pessoal;D;20000,0;15.31;1,0;0.19;N;7
W6OrWN06-2MAy;np9awxxf-u2ab;iYK0xidJ-lBDt;31,0;64900,0;Alugada;2.0;Medico;A;10000,0;7.66;0,0;0.15;N;5
lIztn2BD-30W1;6UYq401o-sJ0A;yTwTxp9g-cdy4;25,0;25200,0;Propria;5.0;Melhora_Lar;D;1200,0;15.99;0,0;0.05;Y;3
i9PIXGe3-abQG;yYlc2ZFN-f1yz;xrY2j1Fr-Mpxx;25,0;56000,0;Alugada;2.0;Pessoal;B;3000,0;12.69;0,0;0.05;N;3
14fEcnuZ-CddG;FNHqRO2z-Ar9X;3BNxNKT8-HBt9;45,0;123000,0;Alugada;2.0;Educativo;F;14000,0;0.0;1,0;0.11;N;17
JxRWa6NZ-4s7q;wbvipmUO-9m1j;r8ABnD9l-ekpt;26,0;56045,0;Alugada;1.0;Medico;D;24250,0;14.96;1,0;0.37;N;2
bUEJEnSA-Cii3;Oq73PUeo-cFIB;c4BkPYor-itKH;24,0;50000,0;Alugada;8.0;Pessoal;C;8000,0;15.96;0,0;0.16;N;3
9v6Cnm8p-ZHB3;XI95Yv98-aWdI;xkx5dKt2-5Kfo;24,0;70000,0;Hipotecada;9.0;Medico;A;7500,0;8.32;0,0;0.11;N;2
zcxpTvQR-DFaS;yvSJ3JZJ-wnTi;tdl6J5W8-cSQf;30,0;50000,0;Alugada;4.0;Melhora_Lar;E;16000,0;16.77;1,0;0.32;N;5
q7p8al6p-kovf;IzAKBBp8-4hek;8kFbSpx8-Ca6l;29,0;24000,0;Propria;3.0;Pessoal;A;7200,0;7.51;0,0;0.3;N;6
piczfiLk-B4dv;ijS2Kc62-eEyZ;hg0X557p-tHJZ;25,0;61000,0;Propria;2.0;Pessoal;C;15000,0;14.65;0,0;0.25;N;2
GgTyyvXm-e0SY;Onkk8AA3-aMnI;sHtyBYaq-GIsw;26,0;225000,0;Alugada;1.0;Educativo;A;3000,0;9.32;0,0;0.01;N;4
WAwUiLik-5mQX;2eq63G7B-PFeX;COvG0Egu-QN1J;23,0;92000,0;Hipotecada;7.0;Pessoal;B;15000,0;11.26;0,0;0.16;N;2
fyjIH75q-Opz6;sioi5gJg-kz7A;NMvRbjbc-2qfW;43,0;43000,0;Hipotecada;5.0;Pessoal;B;15000,0;8.88;0,0;0.35;N;15
CgkgmqAI-bXfk;R4Lvrgcv-B1cq;EJfFZ22H-HLG4;23,0;54000,0;Alugada;7.0;Pagamento_Debitos;B;15550,0;11.71;0,0;0.29;N;4
t7cAmWrg-TT20;g1QJh3e9-ELRe;3rvNCYpz-c6yY;25,0;60000,0;Alugada;8.0;Melhora_Lar;D;5000,0;15.57;0,0;0.08;N;4
GTO3xGzD-4oiz;YWO4Ma8L-qI9E;sF5jokvT-eTUg;30,0;72000,0;Hipotecada;3.0;Pessoal;B;12000,0;10.95;0,0;0.17;N;5
RiKM4mhM-8EX2;ZZjPYZPm-NImQ;vDYgjxQB-7qmN;25,0;99996,0;Hipotecada;3.0;Empreendimento;A;8000,0;8.0;0,0;0.08;N;2
n0Jk3UO3-Ommp;mI8AmH0u-flJt;Rmf3cyuK-c0TT;23,0;60000,0;Alugada;0.0;Educativo;C;11200,0;10.78;0,0;0.19;N;3
vAa2FKSy-G3rr;3rBB9zI7-FvtD;5Bw7Rqwc-Jxzu;26,0;30000,0;Alugada;0.0;Pagamento_Debitos;D;6000,0;0.0;1,0;0.2;Y;2
zCR5X35c-MdAL;wwj1UCDQ-tQwK;SjX1a1pt-ENCE;23,0;31000,0;Alugada;1.0;Pessoal;D;1000,0;14.96;1,0;0.03;Y;3
3WJPPaUe-uaML;lk33Hcjz-gLo8;OdvqMRpk-Dx70;23,0;98000,0;Alugada;0.0;Educativo;E;10000,0;16.4;1,0;0.1;N;2
LOT4sgsC-eLDM;oDBxfg7v-uSR3;oZTk0aaU-C9Ez;26,0;30000,0;Hipotecada;0.0;Educativo;A;4000,0;7.14;0,0;0.13;N;3
2t0KNhlF-sgyP;qaaU5wjK-6jog;GZKySWkk-KU5v;23,0;62000,0;Hipotecada;3.0;Medico;A;9000,0;0.0;0,0;0.15;N;4
CxRGrCEd-m3Bm;SBQMzf00-iI25;zWEQQbgS-9xlz;48,0;57996,0;Alugada;2.0;Melhora_Lar;C;7000,0;13.61;0,0;0.12;Y;12
gBGhZQCP-fvPe;yskrCuGZ-eQ27;ucQH7loD-C8C0;27,0;64000,0;Alugada;3.0;Pessoal;A;3600,0;7.49;1,0;0.06;N;5
aZ0nnQl7-xAYm;l79BmKKJ-13P8;QratAEWB-igg5;24,0;75000,0;Hipotecada;7.0;Educativo;A;8500,0;6.99;0,0;0.11;N;3
OAetmPHN-FJ1g;w1PEWh4n-imOZ;yZc4buts-o2fL;24,0;29200,0;Hipotecada;6.0;Pessoal;A;2500,0;6.76;0,0;0.09;N;2
LCnIhp8f-lCPx;JtKax5NN-P0te;BO9poiuC-yvaf;30,0;107000,0;Hipotecada;0.0;Pagamento_Debitos;C;2500,0;10.78;0,0;0.02;Y;6
